"dbID";"planeID";"ADSHEX";"longitude";"latitude";"altitude";"radarID";"aircraft";"departing";"destination";"dateTime"
129;"8e2f964";"780A59";22.4301;118.2666;39000.0;"F-RCLG3";"A333";"HKG";"NGO";"2016-02-22 14:21:24"
130;"8e2dee9";"C07F08";48.5713;-90.3592;39000.0;"F-KINL1";"B736";"YEG";"YYZ";"2016-02-22 14:21:24"
131;"8e2dee2";"06A04E";20.2108;84.8111;40000.0;"F-VEBS3";"A332";"RGN";"DOH";"2016-02-22 14:21:24"
132;"8e2b50c";"8963BB";30.0386;56.7529;38000.0;"F-OIKK1";"B738";"FRU";"DXB";"2016-02-22 14:21:24"
133;"8e2ee52";"8990CC";17.9345;120.5001;38000.0;"F-RPUB1";"A332";"TPE";"DPS";"2016-02-22 14:21:24"
134;"8e2ff24";"800B1A";24.8888;76.7482;39000.0;"F-VABP2";"B738";"DEL";"MAA";"2016-02-22 14:21:24"
135;"8e2ff25";"A1FFF9";38.206;-87.8681;37050.0;"F-KSUS1";"A320";"BMI";"SFB";"2016-02-22 14:21:24"
136;"8e2f7c2";"C07EDA";43.996;-72.0495;39000.0;"F-KORH1";"B737";"YYZ";"YHZ";"2016-02-22 14:21:24"
137;"8e2f7c3";"A5540C";38.191;-107.3554;37575.0;"T-MLAT2";"B737";"LAS";"MDW";"2016-02-22 14:21:24"
138;"8e2b046";"";39.8463;-103.9054;41000.0;"T-MLAT2";"GALX";"";"";"2016-02-22 14:21:24"
139;"8e1a4ba";"406B22";55.3919;11.9533;40000.0;"F-ESMK2";"A388";"HKG";"LHR";"2016-02-22 14:21:24"
140;"8e28202";"780208";-4.4958;128.4339;38000.0;"F-WAPP1";"A333";"MEL";"HKG";"2016-02-22 14:21:24"
141;"8e28530";"4B187F";53.7265;-12.9824;38000.0;"F-EICK1";"A333";"YUL";"ZRH";"2016-02-22 14:21:24"
142;"8e2ed32";"8850B1";31.1768;125.5885;38000.0;"F-RKPC2";"A333";"ICN";"HKG";"2016-02-22 14:21:24"
143;"8e2f1a9";"A96C7D";36.0006;-77.166;39000.0;"T-MLAT2";"B737";"MCO";"ISP";"2016-02-22 14:21:24"
144;"8e2ed38";"C01B6C";42.9504;-107.7211;37000.0;"T-MLAT2";"CRJ9";"YYC";"IAH";"2016-02-22 14:21:24"
145;"8e2f1a6";"A62863";33.8919;-90.1973;38000.0;"T-MLAT2";"B737";"MDW";"MSY";"2016-02-22 14:21:24"
146;"8e2f9c8";"A6F482";37.0079;-95.833;38993.0;"T-MLAT2";"B737";"DEN";"MCO";"2016-02-22 14:21:24"
147;"8e2d268";"4B1885";36.3391;-64.5631;38000.0;"T-TXKF2";"A333";"MIA";"ZRH";"2016-02-22 14:21:24"
148;"8e2f9c1";"A6B0D2";41.6627;-94.695;37999.0;"T-MLAT2";"CRJ7";"ORD";"SLC";"2016-02-22 14:21:24"
149;"8e29483";"3C64EF";46.0847;21.9153;38025.0;"F-LYBE1";"A343";"DMM";"FRA";"2016-02-22 14:21:24"
150;"8e2f9c5";"A9DB78";36.1125;-111.2885;39000.0;"T-MLAT2";"B737";"SNA";"MCI";"2016-02-22 14:21:24"
151;"8e2cbc3";"AAAA9D";26.151;-97.2549;38000.0;"T-MLAT2";"B762";"CVG";"MEX";"2016-02-22 14:21:24"
152;"8e28448";"";33.45;-113.1439;43150.0;"F-KDVT1";"CL30";"";"";"2016-02-22 14:21:24"
153;"8e2d460";"8675BC";29.594;127.4739;40000.0;"F-RJKI1";"B772";"HND";"HKG";"2016-02-22 14:21:24"
154;"8e2d463";"0200CB";42.0856;-52.6802;38000.0;"T-FAA1";"B788";"JFK";"CMN";"2016-02-22 14:21:24"
155;"8e2c9ee";"3C656D";47.0261;-49.9305;38975.0;"T-CYQX1";"A333";"EWR";"MUC";"2016-02-22 14:21:24"
156;"8e1d35b";"780202";32.964;104.2316;37100.0;"F-ZUUU4";"B77W";"LHR";"HKG";"2016-02-22 14:21:24"
157;"8e2890a";"89629C";43.4006;24.746;40000.0;"F-LBGO2";"A333";"AUH";"MUC";"2016-02-22 14:21:24"
158;"8e260a0";"86D90E";54.6952;171.4145;38950.0;"F-PASY1";"B788";"YVR";"NRT";"2016-02-22 14:21:24"
159;"8e21cee";"406D7B";21.3108;80.8051;38975.0;"F-VARP1";"B789";"LHR";"KUL";"2016-02-22 14:21:24"
160;"8e2d59a";"A48DFB";47.727;-65.0074;37025.0;"F-CYSU1";"B763";"ORD";"LHR";"2016-02-22 14:21:24"
161;"8e23e59";"";36.4698;135.5033;43000.0;"T-RJNK4";"GLF5";"";"";"2016-02-22 14:21:24"
162;"8e2d59e";"04008A";-7.5544;35.404;38000.0;"F-HTDA1";"B77L";"ADD";"";"2016-02-22 14:21:24"
163;"8e2cbcf";"E03613";-21.4552;-41.975;37000.0;"T-SBME3";"B738";"EZE";"SSA";"2016-02-22 14:21:24"
164;"8e30057";"8A03C5";-4.3067;104.0311;38000.0;"F-WIPP2";"B738";"CGK";"PDG";"2016-02-22 14:21:24"
165;"8e247f8";"800738";28.7121;69.3017;38975.0;"F-OPRK1";"B788";"BHX";"DEL";"2016-02-22 14:21:24"
166;"8e2948a";"8963E6";43.7014;27.2159;40000.0;"F-LBBG3";"A388";"DXB";"LGW";"2016-02-22 14:21:24"
167;"8e2d26a";"";36.9635;-94.6679;43000.0;"T-F5M";"E55P";"";"";"2016-02-22 14:21:24"
168;"8e29008";"06A0F8";56.7518;30.6301;38000.0;"F-EETU2";"A359";"DOH";"PHL";"2016-02-22 14:21:24"
169;"8e2bc22";"C02264";48.3484;-109.0918;38000.0;"T-MLAT2";"E190";"YYZ";"SEA";"2016-02-22 14:21:24"
170;"8e30a33";"C8806F";-24.8025;170.2866;38000.0;"F-NWWM1";"A333";"";"";"2016-02-22 14:21:24"
171;"8e2bf1f";"71BC02";21.007;116.9071;38000.0;"T-EST1";"B744";"ICN";"BKK";"2016-02-22 14:21:24"
172;"8e2fde4";"A4470E";22.0449;-152.9239;41000.0;"F-PHTO1";"A332";"OGG";"LAX";"2016-02-22 14:21:24"
173;"8e2bdf6";"3C6563";42.694;30.7889;39975.0;"F-LBWN2";"A333";"KWI";"FRA";"2016-02-22 14:21:24"
174;"8e2bdf4";"78018B";20.0236;114.6236;40025.0;"T-VHST9";"B772";"SIN";"HKG";"2016-02-22 14:21:24"
175;"8e2f0e4";"A48E9E";24.0594;-148.3149;39000.0;"T-F5M";"A332";"HNL";"LAS";"2016-02-22 14:21:24"
176;"8e2f8c0";"";45.212;-66.5603;37024.0;"T-MLAT2";"F900";"";"";"2016-02-22 14:21:24"
177;"8e2f8c5";"";7.624;-71.2959;41000.0;"F-SVMC1";"G280";"";"";"2016-02-22 14:21:24"
178;"8e2f8c7";"75010E";9.4676;100.6399;37000.0;"F-VTBU2";"A320";"DMK";"KUL";"2016-02-22 14:21:24"
179;"8e2d041";"C03BF5";37.9449;-79.0738;37000.0;"T-KCGS2";"B737";"CUN";"YUL";"2016-02-22 14:21:24"
180;"8e2faeb";"76D24B";18.8484;112.8034;38250.0;"T-EST1";"A320";"MFM";"SIN";"2016-02-22 14:21:24"
181;"8e27c02";"A5EF0E";38.1797;-118.4592;39975.0;"F-KFLX1";"B752";"IAD";"SFO";"2016-02-22 14:21:24"
182;"8e28e31";"484F72";45.0856;-44.3489;39000.0;"T-FAA1";"A333";"HAV";"AMS";"2016-02-22 14:21:24"
183;"8e2fc4b";"89505A";-33.7619;142.5013;40000.0;"F-YSWH1";"B788";"MEL";"BWN";"2016-02-22 14:21:24"
184;"8e292c8";"06A0BB";-3.3698;41.5433;39975.0;"F-HKMO1";"B788";"DOH";"JNB";"2016-02-22 14:21:24"
185;"8e2bf11";"400776";43.3911;-39.4817;41000.0;"T-FAA1";"B772";"BDA";"LGW";"2016-02-22 14:21:24"
186;"8e2d13a";"";36.8636;-94.9794;38250.0;"F-KTUL1";"E55P";"";"";"2016-02-22 14:21:24"
187;"8e286c0";"4B187C";44.5708;25.4963;40000.0;"F-LBRS1";"A333";"DXB";"ZRH";"2016-02-22 14:21:24"
188;"8e286c5";"89613D";45.2937;24.4729;38000.0;"F-LRSB2";"A332";"AUH";"EDI";"2016-02-22 14:21:24"
